Sample,Iterations
1,13
2,13
3,1
4,12
5,3
6,3
7,2
8,4
9,1
10,0
11,9
12,2
13,2
14,3
15,1
16,3
17,3
18,5
19,0
20,2
21,9
22,0
23,1
24,9
25,2
26,2
27,0
28,6
29,3
30,2
31,0
32,0
33,0
34,1
35,0
36,5
37,0
38,3
39,0
40,1
41,0
42,0
43,0
44,2
45,2
46,0
47,0
48,0
49,0
50,0
