Sample,Iterations
1,70274
2,214
3,4584
4,52477
5,43364
6,16741
7,127260
8,15532
9,15293
10,68992
11,221511
12,91006
13,12652
14,27533
15,17972
16,12547
17,53901
18,85585
19,37230
20,38073
21,226287
22,5375
23,103160
24,104298
25,91637
26,7490
27,177616
28,96904
29,69261
30,9177
31,12454
32,43412
33,118838
34,44076
35,8783
36,4010
37,72829
38,69052
39,37567
40,98738
41,47093
42,49584
43,12282
44,132668
45,51271
46,1303
47,199710
48,232787
49,44043
50,597
