Sample,Iterations
1,48
2,219
3,650
4,141
5,503
6,42
7,774
8,259
9,55
10,68
11,1066
12,286
13,33
14,238
15,5
16,422
17,50
18,38
19,16
20,32
21,671
22,26
23,17
24,1054
25,165
26,95
27,317
28,441
29,52
30,44
31,117
32,430
33,488
34,247
35,78
36,192
37,504
38,207
39,15
40,82
41,117
42,27
43,75
44,281
45,86
46,91
47,150
48,680
49,718
50,156
